ORF1,ORF2
YDL055C,YLR435W
YHR094C,YPL265W
YER020W,YGR121C
YJL153C,YLR027C
YJR068W,YNL290W
YER095W,YER095W
YGL056C,YML072C
YOL061W,YOL061W
YJL154C,YOR069W
YDL212W,YPR113W
YBR068C,YML012W
YBR234C,YJL020C
YHR007C,YHR042W
YOR206W,YPL127C
YGL137W,YLL001W
YCR028CA,YIL038C
YDR293C,YGR054W
YGL006W,YPR036W
YDL213C,YPL117C
YCR093W,YNR052C
YGL001C,YLR350W
YEL002C,YHR007C
YBL039C,YGL137W
YCR021C,YPL221W
YGL203C,YHR094C
YHR007C,YPR113W
YDL165W,YNL288W
YBR106W,YGR060W
YDL160C,YGL014W
YGR178C,YKL054C
YGL077C,YOL105C
YAL042W,YML067C
YGL077C,YHR001W
YDL029W,YMR105C
YDR346C,YGL207W
YGR055W,YIL105C
YDR189W,YER157W
YER020W,YLR326W
YBR283C,YML012W
YIR003W,YJL020C
YHR007C,YKL088W
YEL013W,YGR020C
YPL058C,YPL265W
YGL203C,YMR011W
YDR321W,YDR321W
YBR049C,YER009W
YHR012W,YOR132W
YHR089C,YMR290C
YNL283C,YOL105C
YAL042W,YJR010CA
YJL082W,YML086C
YGR256W,YGR256W
YHR001W,YNL283C
YAL053W,YDR497C
YCR021C,YCR021C
YBL017C,YDL113C
YJR010W,YJR010W
YER136W,YGL077C
YKL013C,YMR109W
YGL203C,YMR010W
YHR007C,YLR056W
YMR149W,YPL087W
YER145C,YGR281W
YIL038C,YPR072W
YAR002CA,YFR051C
YNL197C,YNL288W
YDL222C,YER056C
YGL019W,YIL035C
YBR296CA,YER016W
YHR039C,YLR350W
YDR152W,YGL195W
YEL013W,YGL023C
YFL010WA,YML099C
YBR023C,YOR104W
YAL053W,YOR104W
YLR370C,YNR035C
YGL203C,YPL058C
YDL215C,YDL215C
YOR326W,YOR326W
YGL178W,YKL054C
YER111C,YHR178W
YBL039WA,YML086C
YDR238C,YGL203C
YIL103W,YJR097W
YDR275W,YNR075CA
YKL190W,YML057W
YML086C,YMR105C
YIL070C,YKL051W
YIL062C,YOR181W
YNL248C,YNL248C
YDR497C,YPL221W
YDR497C,YPL004C
YCR028CA,YGR138C
YGR036C,YGR036C
YDR100W,YDR100W
YDR032C,YPR138C
YER112W,YNL197C
YDR240C,YOL069W
YKR048C,YMR139W
YDR032C,YOR273C
YDL030W,YKL048C
YNL247W,YNL247W
YHR007C,YPL221W
YKL135C,YPR029C
YNL138W,YNL138W
YML056C,YML056C
YCR033W,YIL068C
YBR155W,YGR187C
YDL160C,YNL288W
YNL182C,YPL190C
YDR032C,YER020W
YDL058W,YDR517W
YHR089C,YOR341W
YOR020C,YOR110W
YGR229C,YOR104W
YDL212W,YDL212W
YOR259C,YOR270C
YBR106W,YER056C
YBR234C,YMR109W
YER031C,YML086C
YBR283C,YMR292W
YOR069W,YOR132W
YDR388W,YDR388W
YFL048C,YOR316C
YBR002C,YKR067W
YGL012W,YLR077W
YGR065C,YKL051W
YDL222C,YHR096C
YDL147W,YDR427W
YDR497C,YDR497C
YER157W,YNL041C
YKL054C,YNR052C
YAL026C,YER166W
YDR011W,YPR156C
YBL071WA,YLR079W
YFR051C,YPL010W
YGL120C,YMR269W
YDR385W,YPL004C
YGR055W,YPR156C
YDR105C,YGL006W
YGL256W,YOR094W
YHR007C,YHR007C
YFL005W,YMR192W
YAL053W,YOL105C
YDL092W,YHR007C
YGR060W,YLR350W
YGL137W,YPL010W
YHR089C,YOR340C
YOR323C,YOR323C
YGR281W,YKL051W
YBL029CA,YER020W
YJL151C,YPR036W
YDL160C,YER112W
YGL162W,YLR035C
YFL048C,YFR051C
YBR207W,YBR207W
YDL058W,YPL117C
YGR048W,YML013W
YKL010C,YLL028W
YDR501W,YLR248W
YDL192W,YHR123W
YHR072W,YJL151C
YGL077C,YPR138C
YBL029CA,YIR037W
YGL077C,YOR273C
YDL222C,YHR094C
YJL076W,YPR110C
YCR030C,YPL058C
YJR076C,YJR076C
YDR385W,YKL191W
YLR347C,YOR098C
YDL160C,YOL149W
YER020W,YGL077C
YDL208W,YNL112W
YDL165W,YER068W
YFL005W,YML086C
YGL203C,YLR413W
YML051W,YML051W
YNL268W,YPL265W
YMR120C,YNR034W
YBR255CA,YJR131W
YBR111WA,YOR296W
YIL038C,YNL288W
YBR097W,YFL053W
YDL222C,YMR011W
YHR001W,YPL221W
YNL287W,YPL246C
YKR048C,YKR048C
YHR052W,YNL186W
YKR026C,YLR291C
YDR011W,YPL265W
YER020W,YNL283C
YBR234C,YMR105C
YGR055W,YPL265W
YIL107C,YOR296W
YDL222C,YGL108C
YDR238C,YML067C
YMR256C,YPL190C
YGL056C,YPR156C
YBR052C,YIL070C
YER113C,YPL246C
YCR028CA,YNL016W
YDR170C,YER166W
YLL012W,YLR100W
YML072C,YPR156C
YCR093W,YLR438CA
YDR100W,YGL006W
YMR120C,YNL255C
YDL100C,YKL080W
YOR165W,YPR113W
YBL017C,YOR069W
YIR038C,YOL147C
YER056C,YJL192C
YLR350W,YMR238W
YER068W,YNL197C
YFL048C,YJL178C
YLL011W,YML093W
YCR077C,YNL118C
YBR106W,YHR094C
YIR037W,YOL147C
YDL208W,YGL120C
YBR283C,YOR016C
YDL222C,YPL058C
YCR028CA,YGR130C
YJL151C,YPL145C
YGL137W,YNL007C
YLR370C,YMR109W
YGL120C,YIL033C
YML086C,YPL145C
YIL033C,YJL164C
YGL203C,YGR055W
YGL195W,YIL138C
YHR058C,YIL027C
YKL159C,YKL190W
YNL091W,YNR052C
YAL016W,YOR094W
YBR052C,YGR065C
YIL035C,YOR039W
YDR501W,YER036C
YGL077C,YPL246C
YNL130C,YNL130C
YCR028CA,YDR265W
YPL091W,YPL091W
YFR002W,YGL172W
YAL016W,YKL080W
YGL203C,YKL004W
YBR052C,YGR281W
YDL058W,YDL058W
YNL112W,YOR206W
YDR068W,YMR010W
YBR267W,YMR139W
YBR207W,YGL006W
YGL056C,YPL265W
YBR200W,YBR200W
YDL160C,YER068W
YDR501W,YLL028W
YML072C,YPL265W
YLR110C,YMR149W
YIR026C,YPR016C
YGR280C,YHR072WA
YBL004W,YKL173W
YKL080W,YPL091W
YLR138W,YML016C
YKR088C,YPL246C
YHR042W,YJR117W
YKL088W,YOR054C
YER145C,YHR096C
YHL002W,YHL002W
YBR041W,YLR100W
YGL027C,YML058WA
YDR141C,YGR138C
YER136W,YFL038C
YHR123W,YML012W
YLR315W,YML056C
YAL053W,YER020W
YLR450W,YLR450W
YHR007C,YJR152W
YCL037C,YGR054W
YJL207C,YPR029C
YAL008W,YPL186C
YDR517W,YPL246C
YGL014W,YNL016W
YGR284C,YMR272C
YDL052C,YIL124W
YDR272W,YGR223C
YBR106W,YML012W
YDL137W,YDR100W
YCR021C,YJL151C
YMR229C,YOL077C
YCR057C,YLR129W
YBL102W,YDL192W
YBR002C,YBR177C
YKL172W,YOR294W
YFR024CA,YOR042W
YHR096C,YLL028W
YDL113C,YJL036W
YLR028C,YMR120C
YER145C,YHR094C
YAL021C,YLR438CA
YAL053W,YNL192W
YHR039C,YMR272C
YPL221W,YPR138C
YBR177C,YLR144C
YOR273C,YPL221W
YOR273C,YPL004C
YDR501W,YKL051W
YER023W,YER023W
YBR102C,YPR055W
YJL153C,YNL138W
YEL051W,YLR028C
YBR207W,YDR352W
YNL197C,YNL197C
YIL027C,YOR151C
YCR028CA,YLR332W
YDR453C,YJR085C
YKL054C,YLR438CA
YIL062C,YJL020C
YER020W,YPL221W
YML086C,YOR327C
YOR165W,YOR165W
YER006W,YGL029W
YGR037C,YML086C
YHR175W,YHR175W
YER068W,YIL038C
YJR112W,YOR360C
YCR043C,YHR123W
YHR094C,YLL028W
YGL077C,YGR138C
YDL047W,YFR040W
YLR083C,YOL137W
YBL102W,YML018C
YBR207W,YJL154C
YPR138C,YPR138C
YHR089C,YOL077C
YBL007C,YGL206C
YPR029C,YPR029C
YDL097C,YDR427W
YCR028CA,YKL144C
YMR010W,YOR069W
YLR082C,YOL138C
YDL007W,YHR027C
YHR096C,YKL051W
YKL041W,YKL041W
YIL036W,YPL117C
YHR081W,YHR089C
YIL027C,YMR149W
YDL160C,YDL160C
YER145C,YPL058C
YDL222C,YDR011W
YJL192C,YPL058C
YDR436W,YKR072C
YBL026W,YIL038C
YGR284C,YHR007C
YGL203C,YNL041C
YCR028CA,YPR129W
YDL222C,YGR055W
YKL172W,YOL077C
YBR106W,YMR292W
YBL017C,YJR125C
YGR135W,YOR362C
YJL034W,YNR030W
YKL193C,YLR079W
YDR385W,YJL153C
YKL054C,YMR120C
YBL071WA,YPL086C
YHR027C,YOR117W
YNL118C,YPR129W
YFR010W,YLR033W
YAR002CA,YMR149W
YHR094C,YKL051W
YHR063C,YHR063C
YKL013C,YNL138W
YMR105C,YMR120C
YBR106W,YKL008C
YGR135W,YML092C
YGL087C,YMR140W
YBL085W,YBR200W
YLL028W,YPL058C
YNR065C,YPL087W
YER112W,YOR204W
YAR002CA,YIL027C
YKL165C,YML012W
YDR039C,YLR332W
YDR378C,YER112W
YBR296CA,YGR014W
YGR054W,YNL255C
YEL051W,YMR105C
YCR084C,YDL246C
YCL037C,YDR293C
YIL021W,YOR151C
YDL035C,YPL087W
YJR118C,YJR118C
YGR281W,YHR007C
