ORF1	NAME1	ORF2	NAME2
YJL178C	ATG27	YPL246C	RBD2
YAR002C-A	ERP1	YHR007C	ERG11
YER145C	FTR1	YGL077C	HNM1
YLR332W	MID2	YPR138C	MEP3
YER035W	EDC2	YOL149W	DCP1
YBL029C-A	YBL029C-A	YLL028W	TPO1
YDR200C	VPS64	YPL130W	SPO19
YLR332W	MID2	YOR273C	TPO4
YGL137W	SEC27	YIL143C	SSL2
YBR106W	PHO88	YKL088W	YKL088W
YJR072C	NPA3	YOR151C	RPB2
YDL029W	ARP2	YOR181W	LAS17
YDL123W	SNA4	YLL048C	YBT1
YDL222C	FMP45	YPL221W	FLC1
YML067C	ERV41	YML067C	ERV41
YEL051W	VMA8	YJR033C	RAV1
YDR100W	TVP15	YPR079W	MRL1
YCR043C	YCR043C	YMR010W	YMR010W
YDR479C	PEX29	YLR082C	SRL2
YEL039C	CYC7	YGL078C	DBP3
YCR093W	CDC39	YER068W	MOT2
YBR177C	EHT1	YJL153C	INO1
YER112W	LSM4	YKL054C	DEF1
YER020W	GPA2	YLR332W	MID2
YDR011W	SNQ2	YHR096C	HXT5
YLR196W	PWP1	YNL112W	DBP2
YLR027C	AAT2	YOL147C	PEX11
YGR055W	MUP1	YHR096C	HXT5
YGR280C	PXR1	YHR089C	GAR1
YNL197C	WHI3	YPR129W	SCD6
YBR052C	RFS1	YDR039C	ENA2
YDR032C	PST2	YKL051W	SFK1
YDR188W	CCT6	YLR045C	STU2
YKR007W	MEH1	YML121W	GTR1
YDR264C	AKR1	YPL246C	RBD2
YGL077C	HNM1	YLL028W	TPO1
YDR171W	HSP42	YOL147C	PEX11
YOR110W	TFC7	YPL117C	IDI1
YKL139W	CTK1	YLR196W	PWP1
YDL197C	ASF2	YGL162W	SUT1
YDL236W	PHO13	YMR120C	ADE17
YHR072W-A	NOP10	YNL112W	DBP2
YGL043W	DST1	YGL070C	RPB9
YGL263W	COS12	YLR272C	YCS4
YGR129W	SYF2	YOR104W	PIN2
YAL029C	MYO4	YBR130C	SHE3
YDR501W	PLM2	YML072C	TCB3
YBR177C	EHT1	YJL151C	SNA3
YDL192W	ARF1	YOL129W	VPS68
YDL222C	FMP45	YDL222C	FMP45
YLR196W	PWP1	YNL002C	RLP7
YDR011W	SNQ2	YHR094C	HXT1
YBL007C	SLA1	YBR234C	ARC40
YBL026W	LSM2	YCR093W	CDC39
YBR177C	EHT1	YML086C	ALO1
YGR055W	MUP1	YHR094C	HXT1
YDL135C	RDI1	YPR156C	TPO3
YDL131W	LYS21	YDL182W	LYS20
