geneA,geneB
YKL016C,YPL078C
YBR039W,YBL045C
YMR120C,YDR019C
YMR120C,YMR189W
YHR154W,YMR076C
YDR019C,YMR120C
YGL187C,YBL045C
YGR214W,YLR048W
YBL045C,YBR039W
YBL045C,YGL187C
YLR058C,YGL234W
YNL052W,YDR529C
YHR174W,YJR009C
YDL179W,YKL164C
YFL008W,YIL026C
YGL234W,YLR058C
YIL026C,YFL008W
YBL045C,YDR529C
YJR009C,YHR174W
YKL164C,YDL179W
YDR529C,YNL052W
YDR529C,YBL045C
YPR108W,YDL147W
YOL040C,YGR214W
YDR408C,YLR359W
YDL147W,YPR108W
YEL065W,YMR058W
YMR058W,YEL065W
YGR214W,YOL040C
YLR359W,YDR408C
YMR142C,YLR061W
YOL040C,YJL177W
YPL079W,YLR061W
YJL177W,YOL040C
YLR406C,YER131W
YER131W,YLR406C
YLR061W,YMR142C
YLR061W,YPL079W
YMR229C,YKL014C
YMR189W,YKR080W
YGR094W,YIL078W
YJL001W,YML092C
YKL014C,YMR229C
YLR388W,YJL189W
YKR080W,YMR189W
YIL078W,YGR094W
YJL189W,YLR388W
YML092C,YJL001W
YFL004W,YJL012C
YJL012C,YFL004W
YGL011C,YFR052W
YEL024W,YBL045C
YCL054W,YPL043W
YBL045C,YEL024W
YPL043W,YCL054W
YFR052W,YGL011C
YLR395C,YHR051W
YGR211W,YBR101C
YBR101C,YGR211W
YJL008C,YJR064W
YHR051W,YLR395C
YLR061W,YLR185W
YJR064W,YJL008C
YLR185W,YLR061W
YGR041W,YNR067C
YJL190C,YMR230W
YLR087C,YDR457W
YNR067C,YGR041W
YDR457W,YLR087C
YFR050C,YFR052W
YMR230W,YJL190C
YFR052W,YFR050C
YNL178W,YLR075W
YDR011W,YOR153W
YJR016C,YGL009C
YOR153W,YDR011W
YFL026W,YIL015W
YLR075W,YNL178W
YIL015W,YFL026W
YCR089W,YNR044W
YNR044W,YCR089W
YGL009C,YJR016C
YML120C,YEL024W
YEL024W,YML120C
YER056CA,YLR185W
YLR185W,YER056CA
YHR025W,YHR019C
YPR167C,YJR010W
YNL096C,YDL082W
YDL082W,YNL096C
YJL177W,YNL069C
YHL040C,YMR058W
YJR010W,YPR167C
YNL069C,YJL177W
YHR019C,YHR025W
YMR058W,YHL040C
YMR095C,YMR094W
YNL195C,YNL194C
YMR094W,YMR095C
YNL194C,YNL195C
YDR377W,YKL016C
YBL004W,YMR229C
YMR229C,YBL004W
YGL031C,YBL092W
YDL075W,YLR406C
YCL027W,YNR044W
YBL092W,YGL031C
YKL016C,YDR377W
YMR314W,YGL011C
YLR406C,YDL075W
YNR044W,YCL027W
YGL011C,YMR314W
YJR064W,YJL014W
YNR056C,YNR058W
YNR058W,YNR056C
YJL014W,YJR064W
YPL242C,YMR001C
YMR001C,YPL242C
YDR394W,YGL048C
YDL007W,YDL097C
YJL200C,YBR115C
YPL131W,YLL045C
YBR115C,YJL200C
YDL097C,YDL007W
YGL187C,YDR529C
YGL048C,YDR394W
YLL045C,YPL131W
YDR529C,YGL187C
YFR030W,YKL001C
YKR091W,YHR030C
YDL075W,YDR500C
YHR030C,YKR091W
YPL240C,YDR171W
YDR171W,YPL240C
YDR500C,YDL075W
YKL001C,YFR030W
YLL026W,YOR027W
YOR027W,YLL026W
YDL081C,YDL130W
YGR183C,YEL024W
YCR072C,YJL069C
YEL024W,YGR183C
YDL130W,YDL081C
YHR010W,YOL121C
YJL069C,YCR072C
YOL121C,YHR010W
YJR092W,YMR032W
YJL136C,YLR185W
YMR032W,YJR092W
YBR031W,YPL131W
YPL131W,YBR031W
YDL097C,YGL048C
YGL048C,YDL097C
YLR185W,YJL136C
YNL007C,YGR142W
YGR142W,YNL007C
YLR048W,YDL082W
YDL082W,YLR048W
YGR183C,YDR529C
YLR133W,YLR132C
YLR132C,YLR133W
YDR500C,YLR185W
YDR529C,YGR183C
YLR185W,YDR500C
YBL079W,YML103C
YML103C,YBL079W
YJL136C,YLR061W
YDL082W,YIL133C
YKL016C,YGL187C
YIL133C,YDL082W
YLL018C,YHR019C
YHR001WA,YGL187C
YHR019C,YLL018C
YGL187C,YHR001WA
YGL187C,YKL016C
YLR061W,YJL136C
YDR497C,YNL169C
YLR058C,YNL220W
YHR165C,YER172C
YER172C,YHR165C
YNL169C,YDR497C
YNL220W,YLR058C
YCR034W,YLR372W
YHR200W,YOR157C
YGL255W,YLR130C
YFR032CA,YDR500C
YLR130C,YGL255W
YPR191W,YDR529C
YOR157C,YHR200W
YLR372W,YCR034W
YDR500C,YFR032CA
YDR529C,YPR191W
YNL178W,YBR189W
YMR142C,YNL069C
YBR189W,YNL178W
YNL102W,YJL074C
YDR394W,YKL145W
YNL069C,YMR142C
YKL145W,YDR394W
YJL074C,YNL102W
YMR142C,YOR096W
YNL142W,YIR032C
YJL190C,YGR034W
YIR032C,YNL142W
YPR108W,YER012W
YGL191W,YHR051W
YKR075C,YDR277C
YER103W,YBR169C
YOL127W,YML024W
YML024W,YOL127W
YBR169C,YER103W
YOR096W,YMR142C
YER012W,YPR108W
YIL116W,YCL030C
YPR103W,YKL145W
YCL030C,YIL116W
YHR051W,YGL191W
YER124C,YBR158W
YBR158W,YER124C
YDR277C,YKR075C
YKL145W,YPR103W
YGR034W,YJL190C
YPR020W,YHR051W
YPL126W,YPL012W
YMR142C,YGR214W
YDR377W,YDR298C
YBR189W,YJR123W
YPL242C,YGL021W
YDR298C,YDR377W
YGL021W,YPL242C
YPL012W,YPL126W
YNL112W,YGR159C
YJL200C,YBR291C
YBR291C,YJL200C
YPR103W,YOR117W
YHR051W,YPR020W
YGR214W,YMR142C
YJR123W,YLL045C
YJR123W,YBR189W
YLL045C,YJR123W
YGR159C,YNL112W
YOR117W,YPR103W
YLR394W,YLR393W
