	orf_name_a	gene_name_a	orf_name_b	gene_name_b	Zone	GI_PCC	CS_PCC	GE_PCC
2664	YGR168C		YJL147C	MRX5	D	NA	0.038605751	NA
2665	YGR168C		YJL185C	ATG36	D	NA	0.085693566	NA
2666	YGR168C		YJL205C	NCE101	D	NA	0.227142116	NA
2667	YGR168C		YKL018C-A		D	0.00527	NA	NA
2668	YGR168C		YKR057W	RPS21A	C	0.10688	NA	NA
2669	YGR168C		YMR115W	MGR3	C	NA	0.061034621	NA
2670	YGR168C		YNL093W	YPT53	D	NA	0.062860361	NA
2671	YGR168C		YNL131W	TOM22	C	NA	NA	NA
2672	YGR168C		YOL147C	PEX11	D	NA	-0.19684855	NA
2673	YGR168C		YOR089C	VPS21	D	0.05706	-0.012852143	NA
2674	YGR168C		YOR368W	RAD17	C	0.00508	0.092504416	NA
2675	YGR168C		YPL112C	PEX25	D	0.01574	0.069835545	NA
2676	YGR168C		YPR128C	ANT1	D	NA	0.216136858	NA
2684	YGR178C	PBP1	YHR121W	LSM12	D	0.16278	0.428661894	0.2121
2685	YGR178C	PBP1	YIL105W-A		D	NA	NA	NA
2687	YGR179C	OKP1	YJL036W	SNX4	B	0.0054	NA	0.4014
2691	YGR181W	TIM13	YHR033W		C	0.0128	0.21881105	NA
2695	YGR193C	PDX1	YLR288C	MEC3	B	-0.02002	-0.022177788	0.3702
2696	YGR195W	SKI6	YHR069C	RRP4	A	0.30606	NA	0.5462
2698	YGR195W	SKI6	YML064C	TEM1	C	-0.08997	NA	0.2711
2700	YGR195W	SKI6	YPR045C	THP3	C	0.04359	NA	0.0225
2701	YGR198W	YPP1	YKL204W	EAP1	C	-0.03225	NA	0.1306
2702	YGR198W	YPP1	YLR264W	RPS28B	C	-0.00097	NA	0.1991
2703	YGR198W	YPP1	YLR281C		D	0.0369	NA	-0.1767
2708	YGR205W	TDA10	YMR315W		D	0.0226	-0.019908185	0.2307
2709	YGR207C	CIR1	YPR004C	AIM45	D	-0.00167	0.054730959	0.5767
2711	YGR210C		YNL072W	RNH201	C	-0.00941	0.124459001	0.365
2714	YGR214W	RPS0A	YKR057W	RPS21A	A	0.32522	NA	0.7983
2715	YGR214W	RPS0A	YOR158W	PET123	B	NA	0.10215176	-0.012
2716	YGR215W	RSM27	YJL124C	LSM1	B	0.00688	NA	0.3754
2722	YGR222W	PET54	YHL003C	LAG1	D	0.04652	-0.116293101	0.215
2723	YGR222W	PET54	YPR159W	KRE6	D	NA	NA	-0.0324
2731	YGR235C	MIC26	YIL065C	FIS1	D	0.04625	-0.240056465	0.5223
2732	YGR235C	MIC26	YJL112W	MDV1	D	0.08563	0.073011563	0.4807
2733	YGR235C	MIC26	YJL136C	RPS21B	C	0.04073	NA	0.0121
2734	YGR235C	MIC26	YJL185C	ATG36	D	0.0056	-0.318468044	NA
2735	YGR235C	MIC26	YKL018C-A		D	NA	NA	NA
2736	YGR235C	MIC26	YML030W	RCF1	D	0.00062	-0.039867121	0.4943
2737	YGR235C	MIC26	YML051W	GAL80	D	-0.06334	0.00774457	0.1429
2738	YGR235C	MIC26	YML064C	TEM1	D	0.00686	NA	-0.0154
2739	YGR235C	MIC26	YNL189W	SRP1	C	-0.05248	NA	0.3313
2740	YGR235C	MIC26	YOL147C	PEX11	D	-0.04112	-0.027926845	0.3159
2741	YGR235C	MIC26	YOR089C	VPS21	D	-0.00026	-0.267290413	0.567
2742	YGR235C	MIC26	YOR368W	RAD17	C	0.03969	-0.209266436	0.3063
2743	YGR235C	MIC26	YPL112C	PEX25	D	0.0547	0.265528569	0.2933
2744	YGR235C	MIC26	YPR128C	ANT1	D	0.02149	0.309516489	0.2802
2746	YGR238C	KEL2	YNL182C	IPI3	B	0.01358	NA	0.1481
2747	YGR239C	PEX21	YIL160C	POT1	D	0.00106	0.109635253	0.1756
2748	YGR239C	PEX21	YLR291C	GCD7	C	-0.06484	NA	0.0042
2749	YGR239C	PEX21	YML051W	GAL80	D	-0.02051	0.06394074	0.001
2750	YGR239C	PEX21	YMR267W	PPA2	D	-0.05059	NA	0.0595
2758	YGR249W	MGA1	YML088W	UFO1	C	0.02742	-0.261957445	NA
2760	YGR250C	RIE1	YJR128W		D	0.07709	-0.13356896	NA
2764	YGR261C	APL6	YNL164C	IBD2	C	-0.00607	NA	0.0785
2768	YGR262C	BUD32	YKR038C	KAE1	A	-0.02946	NA	0.551
2769	YGR262C	BUD32	YNL153C	GIM3	B	0.04698	NA	0.4626
2777	YGR268C	HUA1	YHL002W	HSE1	D	-0.04464	-0.103184683	0.4204
2779	YGR268C	HUA1	YJR128W		D	-0.02532	0.04669469	NA
2780	YGR268C	HUA1	YLL039C	UBI4	D	0.01149	0.049867825	0.4349
2782	YGR268C	HUA1	YML097C	VPS9	D	0.00988	-0.16665522	-0.0442
