orf_name_a	gene_name_a	orf_name_b	gene_name_b	Uetz-screen	Ito-core	CCSB-YI1	YeRI	Zone	GI_PCC	CS_PCC	GE_PCC
YBR006W	UGA2	YKL023W		True	False	False	False	C	-0.02408	0.41793361727575407	
YBR007C	DSF2	YOR368W	RAD17	False	False	False	True	C	-0.02579	0.07596612971061499	
YBR019C	GAL10	YBR019C	GAL10	False	False	True	False	D			
YBR026C	ETR1	YDL043C	PRP11	False	False	False	True	C	0.07008		0.0052
YBR029C	CDS1	YIR033W	MGA2	False	False	True	False	D	0.05136		0.1914
YBR029C	CDS1	YIR038C	GTT1	False	False	True	False	D	0.05707		-0.0819
YBR030W	RKM3	YGL129C	RSM23	False	False	False	True	C			
YBR030W	RKM3	YLR244C	MAP1	False	False	True	False	D			0.3549
YBR034C	HMT1	YGR165W	MRPS35	False	True	False	False	B			0.1963
YBR034C	HMT1	YIL061C	SNP1	False	True	False	False	B			0.2232
YBR036C	CSG2	YNL125C	ESBP6	False	False	False	True	D	0.01678	0.19769283308672878	
YBR036C	CSG2	YPR159W	KRE6	False	False	False	True	D			
YBR038W	CHS2	YPR106W	ISR1	False	True	False	False	D	-0.0077		0.0409
YBR040W	FIG1	YCL040W	GLK1	True	False	False	False	D	-0.01331	0.3133526821962226	0.0513
YBR041W	FAT1	YDL153C	SAS10	False	True	False	False	C	-0.04323		0.0256
YBR042C	CST26	YER081W	SER3	False	True	False	False	D	-0.00785	0.038095648344213175	0.1333
YBR045C	GIP1	YLR288C	MEC3	False	False	False	True	B		0.37937672648016657	
YBR046C	ZTA1	YMR213W	CEF1	False	False	False	True	C	0.035		0.0554
YBR047W	FMP23	YPL077C		False	False	False	True	D	-0.01378	-0.10175655893748672	
YBR052C	RFS1	YDR032C	PST2	True	False	True	False	A	-0.06245	-0.013313734014565141	
YBR052C	RFS1	YIL103W	DPH1	False	False	False	True	B	0.02207	0.1257472874075104	
YBR054W	YRO2	YML088W	UFO1	False	False	False	True	C	0.00986	-0.019560221619365215	0.0275
YBR055C	PRP6	YLR446W		False	True	False	False	C	-0.02798		0.0179
YBR055C	PRP6	YPR082C	DIB1	True	False	True	False	A	0.05077		0.2305
YBR056W		YFR007W	YFH7	False	True	False	False	D	-8e-05	0.35026876885843744	0.2448
YBR056W-A		YJR128W		False	False	False	True	D			
YBR057C	MUM2	YCL055W	KAR4	True	False	False	False	D	-0.00325	0.5519002886407748	0.3525
YBR057C	MUM2	YDR206W	EBS1	True	False	False	False	D	0.0036	-0.009348127389055884	0.1914
YBR057C	MUM2	YER018C	SPC25	False	False	True	False	C	-0.0055		
YBR057C	MUM2	YGL036W		False	False	True	False	D	-0.01214		0.3317
YBR057C	MUM2	YGL192W	IME4	True	False	False	False	D	0.07059		0.0706
YBR057C	MUM2	YHL004W	MRP4	False	False	True	False	C			0.2149
YBR057C	MUM2	YJL025W	RRN7	False	False	True	False	C	0.02361		0.3195
YBR057C	MUM2	YJL058C	BIT61	False	False	True	False	C	-0.041	-0.2280625239099072	0.3326
YBR057C	MUM2	YJL085W	EXO70	False	False	True	False	C	-0.00209		0.5569
YBR057C	MUM2	YPL135W	ISU1	False	False	True	False	D	0.01163	0.15095965904669806	0.1547
YBR058C-A	TSC3	YDR062W	LCB2	False	False	False	True	D	0.15207		
YBR058C-A	TSC3	YGR038W	ORM1	False	False	False	True	D	-0.02983		
YBR058C-A	TSC3	YLR350W	ORM2	False	False	False	True	D	-0.1458		
YBR059C	AKL1	YBR059C	AKL1	False	True	False	False	D			
YBR059C	AKL1	YER144C	UBP5	True	False	False	False	D	0.05226	0.2900149612316901	
YBR059C	AKL1	YGL213C	SKI8	False	True	False	False	C	-0.04068	0.05694432097662851	0.0172
YBR059C	AKL1	YML014W	TRM9	False	True	False	False	D	0.03598	0.01561018747993914	-0.1367
YBR060C	ORC2	YDL111C	RRP42	False	False	False	True	B	0.03213		0.4234
YBR060C	ORC2	YEL056W	HAT2	False	False	False	True	B			0.3825
YBR060C	ORC2	YLL004W	ORC3	False	False	False	True	A	0.51905		0.3747
YBR060C	ORC2	YLR368W	MDM30	False	False	False	True	B	-0.00687		0.3247
YBR060C	ORC2	YPR120C	CLB5	False	False	False	True	C	0.07584		0.3072
YBR061C	TRM7	YMR055C	BUB2	False	False	False	True	D	0.01876		0.2812
YBR068C	BAP2	YEL001C	IRC22	False	False	False	True	D	-0.00945	0.002166092460860395	
YBR068C	BAP2	YPR170W-B		False	False	False	True	D			
YBR072C-A		YIR016W		False	False	False	True	D			
YBR072W	HSP26	YBR072W	HSP26	False	False	True	False	D			
YBR072W	HSP26	YBR261C	TAE1	False	False	True	False	D	-0.09107	0.4499565175568843	-0.1059
YBR072W	HSP26	YDL239C	ADY3	False	True	False	False	D	-0.02503	0.2363007603813611	
YBR072W	HSP26	YML064C	TEM1	False	True	False	False	D	-0.02144		-0.195
YBR072W	HSP26	YNL189W	SRP1	False	True	False	False	C			0.0606
YBR077C	SLM4	YGR201C		False	False	True	True	C		0.0444964450317176	
YBR077C	SLM4	YKR007W	MEH1	True	True	False	True	A	0.43964	0.8357158308313322	
YBR077C	SLM4	YMR004W	MVP1	True	False	False	False	C	0.07271	0.12246228574087091	0.2124
YBR080C	SEC18	YBR080C	SEC18	False	False	True	False	D			
YBR080C	SEC18	YBR261C	TAE1	False	False	True	False	D	-0.0165		0.2926
YBR080C	SEC18	YIL046W	MET30	False	False	True	False	C	0.02289		0.2003
YBR080C	SEC18	YJL030W	MAD2	False	False	True	False	C	-0.07364		0.2894
YBR080C	SEC18	YLR291C	GCD7	False	False	True	False	C	-0.0349		0.2152
YBR080C	SEC18	YNL189W	SRP1	False	False	True	False	C	-0.04173		0.5453
YBR080C	SEC18	YNL288W	CAF40	False	False	True	False	C	0.04528		0.3904
YBR080C	SEC18	YPL070W	MUK1	False	False	True	False	C	-0.03038		0.4287
YBR082C	UBC4	YER068W	MOT2	False	False	False	True	B			0.1499
YBR083W	TEC1	YDL013W	SLX5	False	False	False	True	C	-0.02021		0.1368
YBR083W	TEC1	YGR048W	UFD1	False	False	False	True	C	-0.00171		0.0792
YBR087W	RFC5	YDR229W	IVY1	False	False	True	False	C	0.00301		0.0183
YBR087W	RFC5	YJR068W	RFC2	False	False	True	True	A	0.35472		0.3567
YBR088C	POL30	YDR510W	SMT3	False	False	True	False	D	0.05293		0.0871
YBR088C	POL30	YER131W	RPS26B	False	False	False	True	C	-0.00769		0.3063
YBR088C	POL30	YJR043C	POL32	False	False	False	True	C	0.07325		0.6627
YBR088C	POL30	YMR137C	PSO2	False	False	False	True	D	0.01683		-0.0541
YBR094W	PBY1	YLR264W	RPS28B	True	False	False	False	B	-0.01923		
YBR094W	PBY1	YOL149W	DCP1	False	True	True	False	A	0.02825		
YBR101C	FES1	YDR311W	TFB1	False	False	False	True	C	-0.03242		0.3568
YBR102C	EXO84	YLR423C	ATG17	False	False	True	False	B	0.0001		0.365
YBR103W	SIF2	YBR122C	MRPL36	False	False	False	True	B	-0.01206		0.3388
YBR103W	SIF2	YBR282W	MRPL27	False	False	False	True	B	-0.03292		0.2445
YBR103W	SIF2	YGR262C	BUD32	False	False	True	False	B	0.01894		0.2386
