,geneA,geneB
833,YER173W,YOL094C
834,YFL010C,YML051W
835,YFL017WA,YOR159C
836,YFL017WA,YPR182W
837,YFL018C,YGR193C
838,YFL024C,YHR090C
839,YFL027C,YNL100W
840,YFL037W,YOR265W
841,YFL039C,YNL078W
842,YFL059W,YFL060C
843,YFL059W,YNL334C
844,YFL060C,YLR291C
845,YFL060C,YMR096W
846,YFL060C,YMR239C
847,YFL060C,YNL333W
848,YFR004W,YOR026W
849,YFR015C,YJL137C
850,YFR015C,YLR258W
851,YFR015C,YOR060C
852,YFR015C,YPL173W
853,YFR021W,YPL166W
854,YFR022W,YHR097C
855,YFR022W,YLR183C
856,YFR022W,YOL051W
857,YFR027W,YGR198W
858,YFR027W,YLR117C
859,YFR027W,YLR291C
860,YFR027W,YML064C
861,YFR027W,YOL054W
862,YFR035C,YPR174C
863,YFR037C,YMR091C
864,YFR043C,YJR058C
865,YFR043C,YLR170C
866,YFR046C,YPR120C
867,YFR049W,YOR047C
868,YFR050C,YGR067C
869,YFR051C,YNL258C
870,YGL001C,YOL073C
871,YGL004C,YGL048C
872,YGL007CA,YGL209W
873,YGL010W,YJR010CA
874,YGL017W,YLR409C
875,YGL017W,YPL188W
876,YGL019W,YLL027W
877,YGL019W,YLR183C
878,YGL019W,YOR061W
879,YGL019W,YOR158W
880,YGL019W,YPL173W
881,YGL041CB,YGL263W
882,YGL041WA,YGL209W
883,YGL041WA,YGR106C
884,YGL041WA,YHR180W
885,YGL044C,YOR023C
886,YGL054C,YHR036W
887,YGL054C,YJR010CA
888,YGL054C,YNL173C
889,YGL061C,YKL138CA
890,YGL061C,YKR037C
891,YGL068W,YNL153C
892,YGL068W,YPL077C
893,YGL070C,YHR184W
894,YGL079W,YGR113W
895,YGL079W,YJR112W
896,YGL080W,YLR356W
897,YGL087C,YMR140W
898,YGL090W,YJL023C
899,YGL090W,YLR183C
900,YGL091C,YML051W
901,YGL091C,YPL018W
902,YGL093W,YIR010W
903,YGL095C,YGL161C
904,YGL095C,YHR116W
905,YGL095C,YJR135C
906,YGL106W,YMR163C
907,YGL110C,YGR013W
908,YGL112C,YMR236W
909,YGL112C,YPL077C
910,YGL113W,YOL054W
911,YGL113W,YOR260W
912,YGL113W,YPL204W
913,YGL115W,YGL208W
914,YGL115W,YJL144W
915,YGL115W,YJR096W
916,YGL115W,YMR291W
917,YGL115W,YNR071C
918,YGL115W,YOL128C
919,YGL115W,YPL149W
920,YGL115W,YPL278C
921,YGL116W,YJL030W
922,YGL117W,YNL116W
923,YGL119W,YNL211C
924,YGL121C,YMR210W
925,YGL124C,YMR232W
926,YGL153W,YNL086W
927,YGL155W,YKL019W
928,YGL158W,YOR237W
929,YGL161C,YGL198W
930,YGL161C,YHR105W
931,YGL161C,YNL204C
932,YGL161C,YPL191C
933,YGL174W,YIR005W
934,YGL174W,YLR368W
935,YGL174W,YOL159CA
936,YGL176C,YPR110C
937,YGL181W,YPR166C
938,YGL190C,YHL006C
939,YGL194CA,YJR015W
940,YGL194CA,YMR153W
941,YGL194CA,YNR039C
942,YGL194CA,YPR174C
943,YGL209W,YGL209W
944,YGL209W,YGR152C
945,YGL209W,YGR213C
946,YGL209W,YJL124C
947,YGL209W,YJR108W
948,YGL209W,YKL007W
949,YGL209W,YKL180W
950,YGL209W,YKR083C
951,YGL209W,YLR048W
952,YGL209W,YLR212C
953,YGL209W,YLR246W
954,YGL209W,YML012W
955,YGL209W,YML041C
956,YGL209W,YML128C
957,YGL209W,YNR035C
958,YGL209W,YOL038W
959,YGL209W,YOR071C
960,YGL209W,YOR304CA
961,YGL211W,YIL008W
962,YGL211W,YJR011C
963,YGL211W,YLR291C
964,YGL211W,YNL153C
965,YGL215W,YGR067C
966,YGL215W,YPL031C
967,YGL222C,YLR264W
968,YGL225W,YPR159W
969,YGL238W,YML094W
970,YGL243W,YHL006C
971,YGL252C,YNL076W
972,YGL252C,YOR385W
973,YGL263W,YNR039C
974,YGR002C,YGR158C
975,YGR002C,YJL036W
976,YGR002C,YNL107W
977,YGR002C,YPR083W
978,YGR003W,YOL133W
979,YGR003W,YOR385W
980,YGR010W,YGR048W
981,YGR018C,YGR142W
982,YGR018C,YLR291C
983,YGR018C,YML051W
984,YGR020C,YHR060W
985,YGR028W,YNL189W
986,YGR034W,YLR212C
987,YGR034W,YNL153C
988,YGR034W,YPL208W
